user_id,product_name,size,review_text,review_date,size_tag,brightness_tag,color_tag,ball_of_foot_tag,comfort_tag
LV.6 안귀여운쥉,핸드볼 스페지알 - 핑크 / IF6561,245,짱귀여워요 포인트되는 신발이라서 무슨 룩이든 다 잘어울여요,2024.05.26,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.6 당근당근맛,핸드볼 스페지알 - 핑크 / IF6561,250,데일리신발 진짜 적극 추천이에요 무슨옷에든 잘어울림,2024.05.26,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.6 강남클러치,핸드볼 스페지알 - 핑크 / IF6561,250,색감이 깡패에요 진짜 너무 이뻐서 기절하는줄 알았음,2024.05.26,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.4 지이러엉,핸드볼 스페지알 - 핑크 / IF6561,230,"평소 컨버스나 왠만한 신발 235 신고, 가끔 240까지도 신는데요~ 매장에서 스페지알 신어보니 235도 많이 남길래 230 주문했습니다! 신어보니 딱 좋은거 같아요~",2024.05.25,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 Jihyo.on,핸드볼 스페지알 - 핑크 / IF6561,225,"235 신는데 후기에 크게나왔다고해서 230으로 주문했는데 너무커서 사이즈표기 잘못 되어있는줄알았어요..
그래서 225로 교환했더니 딱 맞네요!
예쁜 색감의 핑크라 코디하기 어렵지도 않구 포인트주기 좋은거같아요~
오래신고 다녀보진 않았지만 바닥도 퐁신하고 착화감 괜찮았어요",2024.05.25,커요,밝아요,보통이에요,보통이에요,편안해요
LV.5 잴잴루,핸드볼 스페지알 - 핑크 / IF6561,225,"너무너무 귀여워요 ㅎㅎ 쨍한 핑크도 아니라 적당히 포인트
주기 좋아용",2024.05.25,커요,보통이에요,선명해요,보통이에요,편안해요
LV.4 괴로운카키피코트,핸드볼 스페지알 - 핑크 / IF6561,225,"편하고 이쁜 구두입니나
스타일링 다양하게 할수 있어서 좋아요
반사이즈 꼭 다운 하세요, 한사이즈이어도 괜찮을 듯",2024.05.25,커요,보통이에요,보통이에요,넓어요,편안해요
LV.5 ssongpp,핸드볼 스페지알 - 핑크 / IF6561,235,"빠른 배송으로 받았습니다
품절이후 어디서도 사이즈 구매가 어렵다가
재입고로 빠르게 구매했습니다
오자마자 바로 신어봤는데
평소 저는 240-245이렇게 신어요
정사이즈로 나오는 신발은 250으로 편하게 신는편이랍니다
사이즈가 약간 크다는 말들로 235로 구매했는데
적당하게 맞아요 완전 딱 맞거나 낙낙한 느낌이 아닌 그런 ㅋㅋ
색감이 아주 이뻐요!다만 긴 청바지랑 입었더니ㅗ 뒤꿈치에
약각 물들었어요..그것만 조심하면 될꺼 같아요!",2024.05.24,커요,밝아요,흐려요,보통이에요,적당해요
LV.7 혼밥중인옥색밴드,핸드볼 스페지알 - 핑크 / IF6561,250,여성 스니커즈 중 1등으로 판매되는 인기템. 스페지알 핑크 핫한신발 구입하게 되어 좋아요.,2024.05.24,보통이에요,밝아요,선명해요,보통이에요,편안해요
LV.3 버블무,핸드볼 스페지알 - 핑크 / IF6561,250,"톤다운 핑크!
웜과 쿨 그 사이 어디엔가 있는 핑크색이에요
처음 사보는 핑크신발 잘신을게요~~",2024.05.23,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.6 abcdefg15,핸드볼 스페지알 - 핑크 / IF6561,260,색상이 너무 이쁘고 팬츠나 스커트 등 어디에나 잘 어울리고 1시간 이상 걸어도 발이 편해요,2024.05.23,커요,밝아요,선명해요,보통이에요,편안해요
LV.4 깔끔한민트벨라인,핸드볼 스페지알 - 핑크 / IF6561,240,"진짜 너무맘에들어오 일단 신발착용감이 최고이에효
사이즈미스임에도 불구하고 펀해서 신어요 진짜 깔뱔로 구매각",2024.05.23,커요,보통이에요,보통이에요,넓어요,편안해요
LV.3 세심한삼청동밴드,핸드볼 스페지알 - 핑크 / IF6561,225,"230 정사이즈인데
하나 다운하니까 여유있게 잘 맞아요
실제로 받아보니 색감 더 이쁘고
생각보다 코디하기 어렵지 않은 컬러에요",2024.05.23,커요,보통이에요,보통이에요,보통이에요,편안해요
